src_subject_id,session_id,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_administer_type,param_video_subject,param_video_filename,param_cond_type,param_trigger_onset,param_start_biopac,event01_fixation_onset,event01_fixation_biopac,event01_fixation_duration,event02_cue_onset,event02_cue_biopac,event02_cue_type,event02_cue_filename,event04_expect_displayonset,event03_expect_biopac,event03_expect_responseonset,event03_expect_RT,event04_fixation_onset,event04_fixation_biopac,event04_fixation_duration,event05_administer_type,event05_administer_filename,event05_administer_onset,event05_administer_biopac,event06_actual_displayonset,event06_actual_biopac,event06_actual_responseonset,event06_actual_RT,param_end_instruct_onset,param_end_biopac,param_experiment_duration,event03_expect_displayonset
7,4,3,4,2,high,high,043-jh043,jh043t2aeaff_H.mp4,6,1605266638.15536,1605266638.15798,1605266638.18196,1605266638.18689,1.51197147369385,1605266639.69921,1605266639.71727,high,h041.png,0,1605266640.72888,NaN,NaN,1605266644.81782,1605266644.81987,0.604110479354858,jh043t2aeaff_H.mp4,jh043t2aeaff_H.mp4,1605266646.67799,1605266646.67523,1605266651.95386,1605266651.92871,NaN,NaN,0,0,0,1605266640.78295
7,4,3,4,2,low,low,064-ak064,ak064t1afunaff_L.mp4,1,1605266638.15536,1605266638.15798,1605266656.13878,1605266656.14029,4.40319323539734,1605266660.55712,1605266660.55978,low,l008.png,0,1605266661.56607,1605266663.23202,1.65779757499695,1605266665.62571,1605266665.62778,0.603821039199829,ak064t1afunaff_L.mp4,ak064t1afunaff_L.mp4,1605266667.4849,1605266667.48262,1605266672.76175,1605266672.73567,NaN,NaN,0,0,0,1605266661.57417
7,4,3,4,2,low,low,043-jh043,jh043t2aaunaff_L.mp4,1,1605266638.15536,1605266638.15798,1605266676.81328,1605266676.81695,3.10574078559875,1605266679.93113,1605266679.93349,low,l039.png,0,1605266680.93644,NaN,NaN,1605266684.98305,1605266684.9848,1.00353837013245,jh043t2aaunaff_L.mp4,jh043t2aaunaff_L.mp4,1605266687.24229,1605266687.23988,1605266692.51924,1605266692.49313,NaN,NaN,0,0,0,1605266680.96486
7,4,3,4,2,low,low,120-kz120,kz120t2aaunaff_L.mp4,1,1605266638.15536,1605266638.15798,1605266696.5541,1605266696.55565,1.80307054519653,1605266698.37146,1605266698.37272,low,l020.png,0,1605266699.37522,NaN,NaN,1605266703.4067,1605266703.40865,0.603632211685181,kz120t2aaunaff_L.mp4,kz120t2aaunaff_L.mp4,1605266705.26541,1605266705.26339,1605266710.54273,1605266710.51698,NaN,NaN,0,0,0,1605266699.38851
7,4,3,4,2,high,low,107-hs107,hs107t2aeunaff_L.mp4,2,1605266638.15536,1605266638.15798,1605266714.5776,1605266714.58461,1.40965008735657,1605266715.9948,1605266716.00121,high,h044.png,0,1605266717.00717,NaN,NaN,1605266721.04671,1605266721.05117,0.807461500167847,hs107t2aeunaff_L.mp4,hs107t2aeunaff_L.mp4,1605266723.11239,1605266723.1083,1605266728.38283,1605266728.35909,NaN,NaN,0,0,0,1605266717.02852
7,4,3,4,2,high,med,120-kz120,kz120t2aeaff_M.mp4,4,1605266638.15536,1605266638.15798,1605266732.43436,1605266732.43625,1.60341024398804,1605266734.05164,1605266734.05344,high,h053.png,0,1605266735.05795,NaN,NaN,1605266739.08688,1605266739.08872,1.40340757369995,kz120t2aeaff_M.mp4,kz120t2aeaff_M.mp4,1605266741.74456,1605266741.74229,1605266747.02322,1605266746.99763,NaN,NaN,0,0,0,1605266735.06869
7,4,3,4,2,low,high,052-dr052,dr052t1aiaff_H.mp4,5,1605266638.15536,1605266638.15798,1605266751.04141,1605266751.05073,1.91082525253296,1605266752.9588,1605266752.96723,low,l036.png,0,1605266753.97128,NaN,NaN,1605266757.99404,1605266758.0003,1.40792179107666,dr052t1aiaff_H.mp4,dr052t1aiaff_H.mp4,1605266760.65672,1605266760.65443,1605266765.93038,1605266765.90541,NaN,NaN,0,0,0,1605266753.97585
7,4,3,4,2,high,high,107-hs107,hs107t1afaff_H.mp4,6,1605266638.15536,1605266638.15798,1605266769.94857,1605266769.95004,2.80282163619995,1605266772.7663,1605266772.76743,high,h043.png,0,1605266773.77099,NaN,NaN,1605266777.80154,1605266777.80359,0.603888988494873,hs107t1afaff_H.mp4,hs107t1afaff_H.mp4,1605266779.65968,1605266779.65768,1605266784.93757,1605266784.91134,NaN,NaN,0,0,0,1605266773.78335
7,4,3,4,2,low,high,101-mg101,mg101t2aeaff_H.mp4,5,1605266638.15536,1605266638.15798,1605266788.97244,1605266788.97421,1.40347695350647,1605266790.38964,1605266790.39127,low,l025.png,0,1605266791.39491,NaN,NaN,1605266795.42488,1605266795.43404,0.610760450363159,mg101t2aeaff_H.mp4,mg101t2aeaff_H.mp4,1605266797.29021,1605266797.28834,1605266802.56091,1605266802.54034,NaN,NaN,0,0,0,1605266791.40669
7,4,3,4,2,high,med,064-ak064,ak064t1aiaff_M.mp4,4,1605266638.15536,1605266638.15798,1605266806.59577,1605266806.59769,1.80376768112183,1605266808.41312,1605266808.41747,high,h047.png,0,1605266809.42122,NaN,NaN,1605266813.44836,1605266813.45075,0.603976011276245,ak064t1aiaff_M.mp4,ak064t1aiaff_M.mp4,1605266815.30658,1605266815.30471,1605266820.5844,1605266820.558,NaN,NaN,0,0,0,1605266809.43018
7,4,3,4,2,low,med,107-hs107,hs107t2aaaff_M.mp4,3,1605266638.15536,1605266638.15798,1605266824.60258,1605266824.6043,1.1036696434021,1605266825.71967,1605266825.72129,low,l023.png,0,1605266826.72492,NaN,NaN,1605266830.75491,1605266830.75691,2.60365033149719,hs107t2aaaff_M.mp4,hs107t2aaaff_M.mp4,1605266834.61257,1605266834.61066,1605266839.8917,1605266839.86492,NaN,NaN,0,0,0,1605266826.73672
7,4,3,4,2,high,high,108-th108,th108t1aeaff_H.mp4,6,1605266638.15536,1605266638.15798,1605266843.92656,1605266843.92858,2.30380725860596,1605266846.2441,1605266846.25136,high,h055.png,0,1605266847.25564,NaN,NaN,1605266851.27934,1605266851.28443,0.606563329696655,th108t1aeaff_H.mp4,th108t1aeaff_H.mp4,1605266853.13986,1605266853.13781,1605266858.41537,1605266858.39086,NaN,NaN,0,0,0,1605266847.26115
7,4,3,4,2,low,low,049-bm049,bm049t1afaff_L.mp4,1,1605266638.15536,1605266638.15798,1605266862.43356,1605266862.43528,3.50336408615112,1605266865.95155,1605266865.95334,low,l005.png,0,1605266866.95773,NaN,NaN,1605266870.98679,1605266870.98863,0.803420305252075,bm049t1afaff_L.mp4,bm049t1afaff_L.mp4,1605266873.04474,1605266873.04256,1605266878.3229,1605266878.29602,NaN,NaN,0,0,0,1605266866.9686
7,4,3,4,2,low,high,120-kz120,kz120t2aaaff_H.mp4,5,1605266638.15536,1605266638.15798,1605266882.34108,1605266882.35131,1.51159644126892,1605266883.85832,1605266883.86791,low,l033.png,0,1605266884.87188,NaN,NaN,1605266888.91023,1605266888.91766,1.70890951156616,kz120t2aaaff_H.mp4,kz120t2aaaff_H.mp4,1605266891.8735,1605266891.87146,1605266897.14668,1605266897.12433,NaN,NaN,0,0,0,1605266884.89205
7,4,3,4,2,high,med,043-jh043,jh043t2aeunaff_M.mp4,4,1605266638.15536,1605266638.15798,1605266901.16486,1605266901.168,1.00479817390442,1605266902.18191,1605266902.1849,high,h045.png,0,1605266903.18891,NaN,NaN,1605266907.21715,1605266907.21819,1.80227637290955,jh043t2aeunaff_M.mp4,jh043t2aeunaff_M.mp4,1605266910.27391,1605266910.27179,1605266915.55363,1605266915.527,NaN,NaN,0,0,0,1605266903.19896
