src_subject_id,session_id,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_administer_type,param_video_subject,param_video_filename,param_cond_type,param_trigger_onset,param_start_biopac,event01_fixation_onset,event01_fixation_biopac,event01_fixation_duration,event02_cue_onset,event02_cue_biopac,event02_cue_type,event02_cue_filename,event03_expect_displayonset,event03_expect_biopac,event03_expect_responseonset,event03_expect_RT,event04_fixation_onset,event04_fixation_biopac,event04_fixation_duration,event05_administer_type,event05_administer_filename,event05_administer_displayonset,event05_administer_biopac,event06_actual_displayonset,event06_actual_biopac,event06_actual_responseonset,event06_actual_RT,param_end_instruct_onset,param_end_biopac,param_experiment_duration
1,4,3,3,2,low,high,121-vw121,vw121t1aaaff_H.mp4,5,1605918203.31917,1605918203.32174,1605918206.10932,1605918206.11556,1.3015410900116,1605918207.42648,1605918207.42892,low,l032.png,1605918208.47687,1605918208.42289,NaN,NaN,1605918212.49504,1605918212.50475,0.701125383377075,vw121t1aaaff_H.mp4,vw121t1aaaff_H.mp4,1605918214.45011,1605918214.44728,1605918219.73107,1605918219.7028,1605918220.81967,1.08853721618652,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,low,high,096-bg096,bg096t1aeaff_H.mp4,5,1605918203.31917,1605918203.32174,1605918224.016,1605918224.02101,1.40123867988586,1605918225.4332,1605918225.43801,low,l025.png,1605918226.43357,1605918226.42348,NaN,NaN,1605918230.45174,1605918230.45488,0.801256895065308,bg096t1aeaff_H.mp4,bg096t1aeaff_H.mp4,1605918232.50677,1605918232.50404,1605918237.7878,1605918237.75904,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,high,med,107-hs107,hs107t2aaaff_M.mp4,4,1605918203.31917,1605918203.32174,1605918241.87266,1605918241.87535,1.3011429309845,1605918243.18982,1605918243.19207,high,h046.png,1605918244.20686,1605918244.1777,NaN,NaN,1605918248.22503,1605918248.2276,0.701146364212036,hs107t2aaaff_M.mp4,hs107t2aaaff_M.mp4,1605918250.18021,1605918250.17737,1605918255.46106,1605918255.43258,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,high,low,123-jh123,jh123t1aaunaff_L.mp4,2,1605918203.31917,1605918203.32174,1605918259.51257,1605918259.52141,1.6011221408844,1605918261.12984,1605918261.13213,high,h002.png,1605918262.13021,1605918262.11752,NaN,NaN,1605918266.14838,1605918266.15439,2.60137557983398,jh123t1aaunaff_L.mp4,jh123t1aaunaff_L.mp4,1605918270.00361,1605918270.00097,1605918275.28512,1605918275.25593,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,high,med,080-bn080,bn080t1aeaff_M.mp4,4,1605918203.31917,1605918203.32174,1605918279.33663,1605918279.34034,1.20171332359314,1605918280.55375,1605918280.55748,high,h056.png,1605918281.55413,1605918281.54481,NaN,NaN,1605918285.57229,1605918285.57615,0.701523303985596,bn080t1aeaff_M.mp4,bn080t1aeaff_M.mp4,1605918287.53012,1605918287.52535,1605918292.80832,1605918292.78362,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,low,low,124-dn124,dn124t1aaunaff_L.mp4,1,1605918203.31917,1605918203.32174,1605918296.87651,1605918296.88813,1.80105638504028,1605918298.69385,1605918298.69612,low,l011.png,1605918299.69422,1605918299.68155,NaN,NaN,1605918303.71239,1605918303.72149,0.700977563858032,dn124t1aaunaff_L.mp4,dn124t1aaunaff_L.mp4,1605918305.66665,1605918305.66443,1605918310.94842,1605918310.91876,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,high,low,080-bn080,bn080t1afunaff_L.mp4,2,1605918203.31917,1605918203.32174,1605918314.98326,1605918314.9877,2.90118956565857,1605918317.90101,1605918317.90462,high,h049.png,1605918318.90139,1605918318.88844,NaN,NaN,1605918322.91955,1605918322.92192,2.40105891227722,bn080t1afunaff_L.mp4,bn080t1afunaff_L.mp4,1605918326.57389,1605918326.57163,1605918331.85622,1605918331.82589,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,low,med,106-nm106,nm106t2aaunaff_M.mp4,3,1605918203.31917,1605918203.32174,1605918335.87438,1605918335.88854,3.40103268623352,1605918339.29232,1605918339.29418,low,l037.png,1605918340.2927,1605918340.27909,NaN,NaN,1605918344.31086,1605918344.32121,0.801228523254395,nm106t2aaunaff_M.mp4,nm106t2aaunaff_M.mp4,1605918346.3654,1605918346.36314,1605918351.64693,1605918351.61759,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,high,med,115-jy115,jy115t1aeaff_M.mp4,4,1605918203.31917,1605918203.32174,1605918355.68177,1605918355.68413,1.80097699165344,1605918357.49911,1605918357.50478,high,h045.png,1605918358.49949,1605918358.4864,NaN,NaN,1605918362.51765,1605918362.52092,0.701044321060181,jy115t1aeaff_M.mp4,jy115t1aeaff_M.mp4,1605918364.47276,1605918364.46976,1605918369.75368,1605918369.72455,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,high,high,115-jy115,jy115t2aaaff_H.mp4,6,1605918203.31917,1605918203.32174,1605918373.78852,1605918373.79044,2.70115995407104,1605918376.5062,1605918376.50866,high,h040.png,1605918377.50658,1605918377.49353,NaN,NaN,1605918381.52474,1605918381.52674,0.501042366027832,jy115t2aaaff_H.mp4,jy115t2aaaff_H.mp4,1605918383.27927,1605918383.27687,1605918388.5607,1605918388.53137,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,low,low,115-jy115,jy115t1aaunaff_L.mp4,1,1605918203.31917,1605918203.32174,1605918392.59553,1605918392.59767,1.40099024772644,1605918394.01273,1605918394.01509,low,l039.png,1605918395.0131,1605918395.00025,NaN,NaN,1605918399.03127,1605918399.03748,0.801238059997559,jy115t1aaunaff_L.mp4,jy115t1aaunaff_L.mp4,1605918401.08579,1605918401.08348,1605918406.36734,1605918406.33804,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,low,med,042-ll042,ll042t1afunaff_M.mp4,3,1605918203.31917,1605918203.32174,1605918410.3855,1605918410.38746,3.40098977088928,1605918413.80344,1605918413.80557,low,l021.png,1605918414.80382,1605918414.79035,NaN,NaN,1605918418.82198,1605918418.824,0.901020526885986,ll042t1afunaff_M.mp4,ll042t1afunaff_M.mp4,1605918420.97648,1605918420.97401,1605918426.25809,1605918426.22896,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,high,low,096-bg096,bg096t2afunaff_L.mp4,2,1605918203.31917,1605918203.32174,1605918430.27625,1605918430.28805,3.40118169784546,1605918433.69419,1605918433.6966,high,h050.png,1605918434.69457,1605918434.68134,NaN,NaN,1605918438.71273,1605918438.72139,2.50095653533936,bg096t2afunaff_L.mp4,bg096t2afunaff_L.mp4,1605918442.46701,1605918442.46478,1605918447.74944,1605918447.71904,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,low,high,042-ll042,ll042t1aiaff_H.mp4,5,1605918203.31917,1605918203.32174,1605918451.78427,1605918451.78642,1.10111880302429,1605918452.90136,1605918452.9047,low,l033.png,1605918453.90173,1605918453.88874,NaN,NaN,1605918457.9199,1605918457.92169,0.500991344451904,ll042t1aiaff_H.mp4,ll042t1aiaff_H.mp4,1605918459.67419,1605918459.67189,1605918464.95585,1605918464.92624,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,low,med,121-vw121,vw121t1aiaff_M.mp4,3,1605918203.31917,1605918203.32174,1605918468.99069,1605918468.99304,1.30105876922607,1605918470.30785,1605918470.31049,low,l035.png,1605918471.30822,1605918471.29609,NaN,NaN,1605918475.32639,1605918475.32826,0.701001405715942,vw121t1aiaff_M.mp4,vw121t1aiaff_M.mp4,1605918477.2807,1605918477.27845,1605918482.56242,1605918482.53306,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,low,med,048-aa048,aa048t2afunaff_M.mp4,3,1605918203.31917,1605918203.32174,1605918486.59726,1605918486.5994,1.2011559009552,1605918487.81438,1605918487.81696,low,l022.png,1605918488.81475,1605918488.80185,NaN,NaN,1605918492.83292,1605918492.83802,1.20140075683594,aa048t2afunaff_M.mp4,aa048t2afunaff_M.mp4,1605918495.28758,1605918495.28535,1605918500.56913,1605918500.53952,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,high,high,048-aa048,aa048t2aeaff_H.mp4,6,1605918203.31917,1605918203.32174,1605918504.5873,1605918504.58899,1.20106315612793,1605918505.80442,1605918505.80667,high,h041.png,1605918506.80479,1605918506.79233,NaN,NaN,1605918510.82296,1605918510.82532,1.20096635818481,aa048t2aeaff_H.mp4,aa048t2aeaff_H.mp4,1605918513.27748,1605918513.27492,1605918518.55918,1605918518.52964,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
1,4,3,3,2,high,high,101-mg101,mg101t2aeaff_H.mp4,6,1605918203.31917,1605918203.32174,1605918522.59402,1605918522.60456,2.10101556777954,1605918524.71147,1605918524.71366,high,h054.png,1605918525.71184,1605918525.69902,NaN,NaN,1605918529.73001,1605918529.73799,2.50130558013916,mg101t2aeaff_H.mp4,mg101t2aeaff_H.mp4,1605918533.48471,1605918533.48226,1605918538.76671,1605918538.7369,NaN,NaN,1605918875.7924,1605918875.79473,672.473229169846
