src_subject_id,session_id,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_administer_type,param_cond_type,param_trigger_onset,param_start_biopac,event01_fixation_onset,event01_fixation_biopac,event01_fixation_duration,event02_cue_onset,event02_cue_biopac,event02_cue_type,event02_cue_filename,event03_expect_displayonset,event03_rating_biopac,event03_expect_responseonset,event03_expect_RT,event04_fixation_onset,event04_fixation_biopac,event04_fixation_duration,event05_administer_type,event05_administer_displayonset,event05_administer_biopac,event06_actual_onset,event06_actual_biopac,event06_actual_responseonset,event06_actual_RT,param_end_instruct_onset,param_end_biopac,param_experiment_duration,event03_expect_biopac,event03_expect_onset
1,1,3,3,2,low,50,5,1605912036.20951,1605912036.21212,1605912038.9928,1605912039.00735,2.01758217811584,1605912041.02689,1605912041.02966,low,l049.png,0,0,1605912044.46236,1.95148921012878,1605912046.57896,1605912046.58146,0.70440936088562,50,1605912047.37926,1605912047.38745,1605912053.91503,1605912053.8914,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912042.42337,1605912042.51078
1,1,3,3,2,high,48,2,1605912036.20951,1605912036.21212,1605912058.24998,1605912058.25374,2.10555124282837,1605912060.36744,1605912060.37053,high,h001.png,0,0,NaN,NaN,1605912065.55271,1605912065.55488,2.70405864715576,48,1605912068.32041,1605912068.32275,1605912074.8395,1605912074.82719,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912061.52529,1605912061.53454
1,1,3,3,2,high,49,4,1605912036.20951,1605912036.21212,1605912078.94103,1605912078.94404,2.00495147705078,1605912080.95845,1605912080.96092,high,h031.png,0,0,1605912085.24463,3.06896734237671,1605912086.22708,1605912086.22927,0.604052305221558,49,1605912086.91067,1605912086.91297,1605912093.42977,1605912093.41663,1605912094.51888,1.08899903297424,1605912718.94637,1605912718.95436,682.736864089966,1605912082.15101,1605912082.17557
1,1,3,3,2,low,50,5,1605912036.20951,1605912036.21212,1605912097.5313,1605912097.53728,1.20806860923767,1605912098.74842,1605912098.75405,low,l032.png,0,0,NaN,NaN,1605912103.93369,1605912103.93761,0.90610933303833,50,1605912104.90071,1605912104.90387,1605912111.41981,1605912111.40799,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912099.90226,1605912099.91552
1,1,3,3,2,high,50,6,1605912036.20951,1605912036.21212,1605912115.47132,1605912115.47458,2.40697193145752,1605912117.88889,1605912117.89227,high,h004.png,0,0,NaN,NaN,1605912123.07416,1605912123.07747,0.706240892410278,50,1605912123.85778,1605912123.87147,1605912130.39355,1605912130.37814,1605912131.35192,0.958261251449585,1605912718.94637,1605912718.95436,682.736864089966,1605912119.04836,1605912119.05599
1,1,3,3,2,high,50,6,1605912036.20951,1605912036.21212,1605912134.51176,1605912134.5141,1.5042507648468,1605912136.02899,1605912136.03836,high,h053.png,0,0,NaN,NaN,1605912141.19758,1605912141.20401,0.708474159240723,50,1605912141.96454,1605912141.97542,1605912148.50031,1605912148.47891,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912137.17377,1605912137.17942
1,1,3,3,2,low,49,3,1605912036.20951,1605912036.21212,1605912152.53515,1605912152.53726,1.20366764068604,1605912153.75227,1605912153.75462,low,l042.png,0,0,NaN,NaN,1605912159.45439,1605912159.45674,0.804178953170776,49,1605912160.30471,1605912160.30722,1605912166.82381,1605912166.81057,1605912169.99274,3.16845631599426,1605912718.94637,1605912718.95436,682.736864089966,1605912155.41389,1605912155.43623
1,1,3,3,2,low,48,1,1605912036.20951,1605912036.21212,1605912170.89199,1605912170.89424,1.00392293930054,1605912171.90904,1605912171.91118,low,l023.png,0,0,NaN,NaN,1605912177.0943,1605912177.1039,0.811367988586426,48,1605912177.96129,1605912177.97034,1605912184.49707,1605912184.47379,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912173.06958,1605912173.07614
1,1,3,3,2,low,50,5,1605912036.20951,1605912036.21212,1605912188.5319,1605912188.5373,1.60714793205261,1605912190.14917,1605912190.1534,low,l046.png,0,0,NaN,NaN,1605912195.31777,1605912195.32031,0.704370975494385,50,1605912196.10139,1605912196.10379,1605912202.62049,1605912202.60713,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912191.28443,1605912191.2996
1,1,3,3,2,low,48,1,1605912036.20951,1605912036.21212,1605912206.65533,1605912206.65735,1.70346808433533,1605912208.37263,1605912208.37474,low,l021.png,0,0,NaN,NaN,1605912213.5579,1605912213.55999,0.703771829605103,48,1605912214.30818,1605912214.31091,1605912220.82728,1605912220.81441,NaN,NaN,1605912718.94637,1605912718.95436,682.736864089966,1605912209.51897,1605912209.53974
